project_count,sloc
3,8
1,15
3,16
1,17
2,18
3,19
19,20
6,21
17,22
3,23
18,24
6,25
12,26
2,27
4,28
3,29
3,30
6,31
6,32
6,33
8,34
32,35
7,36
18,37
6,38
5,39
10,40
7,41
10,42
20,43
8,44
5,45
6,46
14,47
8,48
10,49
5,50
8,51
10,52
3,53
9,54
6,55
12,56
10,57
8,58
5,59
5,60
14,61
12,62
9,63
9,64
14,65
13,66
6,67
13,68
7,69
5,70
8,71
17,72
15,73
16,74
14,75
9,76
8,77
11,78
12,79
16,80
19,81
13,82
8,83
8,84
7,85
13,86
11,87
4,88
9,89
15,90
7,91
10,92
6,93
12,94
15,95
13,96
20,97
6,98
12,99
8,100
15,101
12,102
9,103
6,104
7,105
9,106
14,107
10,108
9,109
15,110
18,111
17,112
13,113
8,114
7,115
10,116
15,117
9,118
13,119
7,120
7,121
15,122
11,123
8,124
14,125
7,126
10,127
6,128
6,129
10,130
15,131
17,132
12,133
14,134
6,135
5,136
13,137
7,138
13,139
15,140
15,141
5,142
8,143
9,144
13,145
13,146
9,147
14,148
11,149
8,150
12,151
15,152
15,153
10,154
10,155
13,156
9,157
15,158
17,159
13,160
13,161
9,162
17,163
20,164
16,165
22,166
16,167
17,168
14,169
16,170
12,171
9,172
16,173
13,174
14,175
10,176
15,177
10,178
12,179
10,180
11,181
12,182
19,183
14,184
20,185
16,186
10,187
20,188
15,189
14,190
15,191
7,192
14,193
10,194
16,195
10,196
10,197
12,198
16,199
13,200
14,201
10,202
9,203
18,204
14,205
12,206
15,207
15,208
13,209
13,210
8,211
24,212
11,213
12,214
9,215
10,216
11,217
22,218
3,219
9,220
20,221
13,222
12,223
12,224
13,225
10,226
11,227
10,228
6,229
12,230
10,231
8,232
18,233
14,234
22,235
8,236
10,237
9,238
8,239
12,240
10,241
7,242
9,243
15,244
13,245
8,246
5,247
6,248
8,249
5,250
9,251
12,252
5,253
8,254
7,255
10,256
11,257
9,258
7,259
9,260
10,261
9,262
5,263
8,264
11,265
8,266
8,267
15,268
8,269
13,270
8,271
9,272
7,273
9,274
